Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
111;10;1581;12;29;Convention;Conventione p la Co.ta di Lan.ca & Pietro Cerre con Pietro Thaone ??? p ??? di la panataria & vino;;Communauté;Lantosque;Partie 1;"L’année indiquée sur l’acte est 1582 (style de la Nativité) ; Philippe Thaon est notaire";;;74;75;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/75
111;10;1581;12;29;Convention;Conventione p la Co.ta di Lan.ca & Pietro Cerre con Pietro Thaone ??? p ??? di la panataria & vino;Pierre;Serre;Lantosque;Partie 2;"L’année indiquée sur l’acte est 1582 (style de la Nativité) ; Philippe Thaon est notaire";;;74;75;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/75
111;10;1581;12;29;Convention;Conventione p la Co.ta di Lan.ca & Pietro Cerre con Pietro Thaone ??? p ??? di la panataria & vino;Pierre;Thaon;Lantosque;Partie 3;"L’année indiquée sur l’acte est 1582 (style de la Nativité) ; Philippe Thaon est notaire";;;74;75;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/75
111;10;1581;12;29;Convention;Conventione p la Co.ta di Lan.ca & Pietro Cerre con Pietro Thaone ??? p ??? di la panataria & vino;Philippe;Thaon;Lantosque;Partie 4;"L’année indiquée sur l’acte est 1582 (style de la Nativité) ; Philippe Thaon est notaire";;;74;75;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/75
112;10;1582;1;3;Dation en paie;Insoluto datione p Gio Lud.co Passerone da Antorina soa sorela rel.ta di Batho Passerone;Antorine;Passeron;;Partie 1;;;;75;77;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/77
112;10;1582;1;3;Dation en paie;Insoluto datione p Gio Lud.co Passerone da Antorina soa sorela rel.ta di Batho Passerone;Barthélemy †;Passeron Peirogio;Lantosque;Partie 2;;;;75;77;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/77
112;10;1582;1;3;Dation en paie;Insoluto datione p Gio Lud.co Passerone da Antorina soa sorela rel.ta di Batho Passerone;Jean Louis;Passeron;;Partie 3;;;;75;77;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/77
113;10;1582;1;8;Ratification;Rattifficatione di Nicolao Guiglaris da Ant.a Moissino p la parto de Gregorio Balbo;Nicolas;Giuglaris;Lantosque;Partie 1;;;;76;78;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/78
113;10;1582;1;8;Ratification;Rattifficatione di Nicolao Guiglaris da Ant.a Moissino p la parto de Gregorio Balbo;Grégoire;Balbo;Lantosque;Partie 2;;;;76;78;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/78
113;10;1582;1;8;Ratification;Rattifficatione di Nicolao Guiglaris da Ant.a Moissino p la parto de Gregorio Balbo;Antorone;Balbo;;Partie 3;;;;76;78;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/78
113;10;1582;1;8;Ratification;Rattifficatione di Nicolao Guiglaris da Ant.a Moissino p la parto de Gregorio Balbo;Jacques †;Moissin;Lantosque;Partie 4;;;;76;78;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/78
114;10;1582;1;8;Mandement volontaire;Mand.to volon.o p Pietro χρino di Utele q.a Cipriano Gili;Cyprien;Passeron Gili;Lantosque;Partie 1;;;;77;79;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/79
114;10;1582;1;8;Mandement volontaire;Mand.to volon.o p Pietro χρino di Utele q.a Cipriano Gili;Pierre;Christini;Utelle;Partie 2;;;;77;79;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/79
115;10;1582;1;11;Quittance & Reconnaissance;Quitansa p m.o Pau.to Thaone & recog.e di Gio.ta soa figliola da m.o Durando Cerre suo marito;Durand;Serre;Lantosque;Partie 1;Durand Serre est chirurgien;;;78;79;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/79
115;10;1582;1;11;Quittance & Reconnaissance;Quitansa p m.o Pau.to Thaone & recog.e di Gio.ta soa figliola da m.o Durando Cerre suo marito;Paulin;Thaon;Lantosque;Partie 2;Durand Serre est chirurgien;;;78;79;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/79
115;10;1582;1;11;Quittance & Reconnaissance;Quitansa p m.o Pau.to Thaone & recog.e di Gio.ta soa figliola da m.o Durando Cerre suo marito;Jeannette;Thaon;Lantosque;Partie 3;Durand Serre est chirurgien;;;78;79;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/79
116;10;1582;1;13;Quittance & Reconnaissance;Quitansa & recog.ne di la no.le Giaumona figliola dil fu no.le Fran.co Martelo da Gio.to Turrino suo marito di Lud.co Turrino suo suocero;Louis;Torrin;Lantosque;Partie 1;;;;78;80;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/80
116;10;1582;1;13;Quittance & Reconnaissance;Quitansa & recog.ne di la no.le Giaumona figliola dil fu no.le Fran.co Martelo da Gio.to Turrino suo marito di Lud.co Turrino suo suocero;Jeannet;Torrin;Lantosque;Partie 2;;;;78;80;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/80
116;10;1582;1;13;Quittance & Reconnaissance;Quitansa & recog.ne di la no.le Giaumona figliola dil fu no.le Fran.co Martelo da Gio.to Turrino suo marito di Lud.co Turrino suo suocero;Jaumone;Martelli;Lantosque;Partie 3;;;;78;80;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/80
116;10;1582;1;13;Quittance & Reconnaissance;Quitansa & recog.ne di la no.le Giaumona figliola dil fu no.le Fran.co Martelo da Gio.to Turrino suo marito di Lud.co Turrino suo suocero;François †;Martelli;Lantosque;Partie 4;;;;78;80;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/80
117;10;1582;1;14;Mariage;Matrimonio di Pietro Falco & di Loiseta figliola di Gio. Buffon;Pierre;Falco;Lantosque;Partie 1;;;;80;81;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/81
117;10;1582;1;14;Mariage;Matrimonio di Pietro Falco & di Loiseta figliola di Gio. Buffon;Louisette;Buffon;Lantosque;Partie 2;;;;80;81;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/81
117;10;1582;1;14;Mariage;Matrimonio di Pietro Falco & di Loiseta figliola di Gio. Buffon;Jean;Buffon;Lantosque;Partie 3;;;;80;81;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/81
118;10;1582;1;15;Débit & Dation en paie;Debito di m.o Pauleto Thaone con Insoluto datione contra Fran.co  Balbo & Valentina giugali;François;Balbo;Lantosque;Partie 1;;;;82;83;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/83
118;10;1582;1;15;Débit & Dation en paie;Debito di m.o Pauleto Thaone con Insoluto datione contra Fran.co  Balbo & Valentina giugali;Valentine;;Lantosque;Partie 2;;;;82;83;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/83
118;10;1582;1;15;Débit & Dation en paie;Debito di m.o Pauleto Thaone con Insoluto datione contra Fran.co  Balbo & Valentina giugali;Paulin;Thaon;Lantosque;Partie 3;;;;82;83;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/83
119;10;1582;1;15;Bail à cheptel;Mearia di varse per m.r Fran.co Gaspar Cotta dit Ferro & Porcomo Cerre di fu Lud.co;;Serre;Lantosque;Partie 1;Acte barré;;;83;84;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/84
119;10;1582;1;15;Bail à cheptel;Mearia di varse per m.r Fran.co Gaspar Cotta dit Ferro & Porcomo Cerre di fu Lud.co;Louis †;Serre;Lantosque;Partie 2;Acte barré;;;83;84;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/84
119;10;1582;1;15;Bail à cheptel;Mearia di varse per m.r Fran.co Gaspar Cotta dit Ferro & Porcomo Cerre di fu Lud.co;François Gaspard;Cotta Ferro;Nice;Partie 3;Acte barré;;;83;84;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/84
120;10;1582;1;20;Mandement volontaire;Mand.to v.o di m.o Antio Thaone q.a m.o Gio Giarssa;Jean;Giaissa;Belvédère;Partie 1;;;;83;85;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/85
120;10;1582;1;20;Mandement volontaire;Mand.to v.o di m.o Antio Thaone q.a m.o Gio Giarssa;Antoine;Thaon;Lantosque;Partie 2;;;;83;85;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/85
120;10;1582;1;20;Mandement volontaire;Mand.to v.o di m.o Antio Thaone q.a m.o Gio Giarssa;Jacques †;Thaon;Lantosque;Partie 3;;;;83;85;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/85
121;10;1582;1;22;Bail à cheptel;Mearia di cappro di m.r Lud.co Massilia et di Giacomo Dalone Tabalo;Jacques;Dallò Tambalo;Lantosque;Partie 1;;;;84;85;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/85
121;10;1582;1;22;Bail à cheptel;Mearia di cappro di m.r Lud.co Massilia et di Giacomo Dalone Tabalo;Louis;Massilia;Utelle;Partie 2;;;;84;85;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/85
122;10;1582;2;10;Achat;Compra di Otio Dalone da Ludovico Ferrier;Louis;Ferrier;Lantosque;Partie 1;;;;85;86;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/86
122;10;1582;2;10;Achat;Compra di Otio Dalone da Ludovico Ferrier;Otho;Dalloni;Lantosque;Partie 2;;;;85;86;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/86
123;10;1582;2;24;Débit;Debito di m.r Gio Peire q.a Pietro Chiamponsini;Pierre;Chiamponsini;Lantosque;Partie 1;;;;86;87;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/87
123;10;1582;2;24;Débit;Debito di m.r Gio Peire q.a Pietro Chiamponsini;Jean;Peire;Nice;Partie 2;;;;86;87;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/87
124;10;1582;3;5;Achat;Compra di Honorato Gaglio da m.o Gio. Antio Turrino p soa q sorella;Jean Antoine;Torrin Galandi;Lantosque;Partie 1;;;;86;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
124;10;1582;3;5;Achat;Compra di Honorato Gaglio da m.o Gio. Antio Turrino p soa q sorella;Catherinette;;Lantosque;Partie 2;;;;86;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
124;10;1582;3;5;Achat;Compra di Honorato Gaglio da m.o Gio. Antio Turrino p soa q sorella;Honoré;Gaglio;Lantosque;Partie 3;;;;86;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
125;10;1582;3;5;Promesse & Réméré;Promess.ne & patto di retro vend. P d.ti giugali dal d.to Gaglio;Honoré;Gaglio;Lantosque;Partie 1;;;;87;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
125;10;1582;3;5;Promesse & Réméré;Promess.ne & patto di retro vend. P d.ti giugali dal d.to Gaglio;Jean Antoine;Torrin;Lantosque;Partie 2;;;;87;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
125;10;1582;3;5;Promesse & Réméré;Promess.ne & patto di retro vend. P d.ti giugali dal d.to Gaglio;Catherinette;;Lantosque;Partie 3;;;;87;88;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/88
126;10;1582;3;5;Débit;Debito di d.to Gaglio contra m.r Gio Drago;Jeannet;Drago;Lantosque;Partie 1;;;;87;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
126;10;1582;3;5;Débit;Debito di d.to Gaglio contra m.r Gio Drago;Honoré;Gaglio;Lantosque;Partie 2;;;;87;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
127;10;1582;3;9;Cession réciproque;Cessione reciproca di Gio.ta rel.ta di Gio.to Falco & di Gio.to Falco;Jeannette;;;Partie 1;;;;88;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
127;10;1582;3;9;Cession réciproque;Cessione reciproca di Gio.ta rel.ta di Gio.to Falco & di Gio.to Falco;Jeannet †;Falco;Lantosque;Partie 2;;;;88;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
127;10;1582;3;9;Cession réciproque;Cessione reciproca di Gio.ta rel.ta di Gio.to Falco & di Gio.to Falco;Catherine †;;;Partie 3;;;;88;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
127;10;1582;3;9;Cession réciproque;Cessione reciproca di Gio.ta rel.ta di Gio.to Falco & di Gio.to Falco;Martin †;Falco;Lantosque;Partie 4;;;;88;89;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/89
128;10;1582;3;9;Achat;Compra di m.o Manuelo Pass.ne da Gio.ta rel.ta di fu Gio.to Falco;Jeannette;;Lantosque;Partie 1;;;;89;90;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/90
128;10;1582;3;9;Achat;Compra di m.o Manuelo Pass.ne da Gio.ta rel.ta di fu Gio.to Falco;Jeannet †;Falco;Lantosque;Partie 2;;;;89;90;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/90
128;10;1582;3;9;Achat;Compra di m.o Manuelo Pass.ne da Gio.ta rel.ta di fu Gio.to Falco;Manuel;Passeron;Lantosque;Partie 3;;;;89;90;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/90
129;10;1582;3;10;Mandement volontaire;Mand.to volont.o dil S.ro Priore di Lan.ca q.a Bartho Trabuco;Barthélemy;Trabuco;Lantosque;Partie 1;;;;89;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
129;10;1582;3;10;Mandement volontaire;Mand.to volont.o dil S.ro Priore di Lan.ca q.a Bartho Trabuco;Jean Philippe;Fulconis;Lantosque;Partie 2;;;;89;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
130;10;1582;3;19;Achat;Compra di Honorato Auda da Georgio Noveleto & soa consorti Valentina;Georges;Noveloto;Lantosque;Partie 1;;;;90;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
130;10;1582;3;19;Achat;Compra di Honorato Auda da Georgio Noveleto & soa consorti Valentina;Valentine;;;Partie 2;;;;90;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
130;10;1582;3;19;Achat;Compra di Honorato Auda da Georgio Noveleto & soa consorti Valentina;Honoré;Auda;Lantosque;Partie 3;;;;90;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
130;10;1582;3;19;Achat;Compra di Honorato Auda da Georgio Noveleto & soa consorti Valentina;Gaspard;Auda;Lantosque;Partie 4;;;;90;91;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/91
131;10;1582;3;19;Réméré;Patto di retrovender p d.ti giugali da d.to Auda;Honoré;Auda;Lantosque;Partie 1;;;;91;92;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/92
131;10;1582;3;19;Réméré;Patto di retrovender p d.ti giugali da d.to Auda;Georges;Noveloto;Lantosque;Partie 2;;;;91;92;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/92
131;10;1582;3;19;Réméré;Patto di retrovender p d.ti giugali da d.to Auda;Valentine;;Lantosque;Partie 3;;;;91;92;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/92
132;10;1582;3;26;Achat;Compra di Honorato Auda da Georgio Noveleto & Valentina giugali;Georges;Noveloto;Lantosque;Partie 1;;;;92;93;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/93
132;10;1582;3;26;Achat;Compra di Honorato Auda da Georgio Noveleto & Valentina giugali;Valentine;;Lantosque;Partie 2;;;;92;93;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/93
132;10;1582;3;26;Achat;Compra di Honorato Auda da Georgio Noveleto & Valentina giugali;Honoré;Auda;Lantosque;Partie 3;;;;92;93;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/93
133;10;1582;4;4;Débit;Debito di m.o Loisone Uberto q.a And.a Anfosso;Antoine;Anfosso;La Bollène;Partie 1;;;;93;95;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/95
133;10;1582;4;4;Débit;Debito di m.o Loisone Uberto q.a And.a Anfosso;Valentin;Anfosso;La Bollène;Partie 2;;;;93;95;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/95
133;10;1582;4;4;Débit;Debito di m.o Loisone Uberto q.a And.a Anfosso;Louison;Uberto;Lantosque;Partie 3;;;;93;95;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/95
134;10;1582;4;4;Débit;Debito di d.to Uberto q.a Gio Lud.co Guigone;Jean Louis;Guigo;La Bollène;Partie 1;Acte barré;;;94;95;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/95
134;10;1582;4;4;Débit;Debito di d.to Uberto q.a Gio Lud.co Guigone;Louison;Uberto;Lantosque;Partie 2;Acte barré;;;94;95;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/95
135;10;1582;4;4;Débit;Debito di d.to Uberto contra Honorato Rosso;Honoré;Rosso;La Bollène;Partie 1;;;;94;96;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/96
135;10;1582;4;4;Débit;Debito di d.to Uberto contra Honorato Rosso;Louison;Uberto;Lantosque;Partie 2;;;;94;96;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/96
136;10;1582;4;4;Débit;Debito di d.to Uberto q.a Bartho Rosso;Barthélemy;Rosso;La Bollène;Partie 1;;;;95;96;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/96
136;10;1582;4;4;Débit;Debito di d.to Uberto q.a Bartho Rosso;Louison;Uberto;Lantosque;Partie 2;;;;95;96;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/96
137;10;1582;4;5;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a m.o Loigio χρino;Louis;Christino Blacassier;Utelle;Partie 1;;;;95;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
137;10;1582;4;5;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a m.o Loigio χρino;Antoine;Thaon;Lantosque;Partie 2;;;;95;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
137;10;1582;4;5;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a m.o Loigio χρino;Jacques †;Thaon;Lantosque;Partie 3;;;;95;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
138;10;1582;4;7;Quittance;Quitansa di Filippo Buffone & reco.ne di Catterina soa sorela contra di Loigio Otto suo marito;Louis;Otto Brondé;Lantosque;Partie 1;;;;96;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
138;10;1582;4;7;Quittance;Quitansa di Filippo Buffone & reco.ne di Catterina soa sorela contra di Loigio Otto suo marito;Philippe;Buffon;Lantosque;Partie 2;;;;96;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
138;10;1582;4;7;Quittance;Quitansa di Filippo Buffone & reco.ne di Catterina soa sorela contra di Loigio Otto suo marito;Catherine;Buffon;Lantosque;Partie 3;;;;96;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
138;10;1582;4;7;Quittance;Quitansa di Filippo Buffone & reco.ne di Catterina soa sorela contra di Loigio Otto suo marito;Jacques †;Buffon;Lantosque;Partie 4;;;;96;97;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/97
139;10;1582;4;9;Achat;Compra di Tonnone & P??? Lanti da Gio Giacomo Sicardo;Jean Jacques;Sicard;Lantosque;Partie 1;;;;97;98;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/98
139;10;1582;4;9;Achat;Compra di Tonnone & P??? Lanti da Gio Giacomo Sicardo;Tonon;Lanti;Lantosque;Partie 2;;;;97;98;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/98
139;10;1582;4;9;Achat;Compra di Tonnone & P??? Lanti da Gio Giacomo Sicardo;P…;Lanti;Lantosque;Partie 3;;;;97;98;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/98
139;10;1582;4;9;Achat;Compra di Tonnone & P??? Lanti da Gio Giacomo Sicardo;Antoine †;Lanti;Lantosque;Partie 4;;;;97;98;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/98
140;10;1582;4;27;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a Bartho Passerone;Barthélemy;Passeron;Lantosque;Partie 1;;;;97;99;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/99
140;10;1582;4;27;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a Bartho Passerone;Antoine;Thaon;Lantosque;Partie 2;;;;97;99;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/99
140;10;1582;4;27;Mandement volontaire;Mand.to volon.o di m.o Antio Thaone q.a Bartho Passerone;Jacques †;Thaon;Lantosque;Partie 3;;;;97;99;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/99
141;10;1582;4;27;Mandement volontaire;Mand.to volon.o di d.to Thaone contra Antio Anfosso magdalo;Antoine;Anfosso;Lantosque;Partie 1;;;;98;99;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/99
141;10;1582;4;27;Mandement volontaire;Mand.to volon.o di d.to Thaone contra Antio Anfosso magdalo;Antoine;Thaon;Lantosque;Partie 2;;;;98;99;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/99
142;10;1582;5;7;Débit;Debito di m.o Gio Peire contra Loigio Otto Bronde;Louis;Otto Brondé;Lantosque;Partie 1;;;;98;100;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/100
142;10;1582;5;7;Débit;Debito di m.o Gio Peire contra Loigio Otto Bronde;André †;Otto Brondé;Lantosque;Partie 2;;;;98;100;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/100
142;10;1582;5;7;Débit;Debito di m.o Gio Peire contra Loigio Otto Bronde;Jean;Peire;Lantosque;Partie 3;;;;98;100;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/100
143;10;1582;5;25;Contentieux avec promesse et ratification;Contensa con promiss.a di m.o H.to Rennisato & de m.o H.to & Antio Thaoni frali con rattifficatione di quele;Honoré;Rennisato;;Partie 1;;;;99;100;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/100
