Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
10;8;1580;1;26;Inventaire des biens;Perfitione d’inventario & gli beni & heredita di fu Tonone Sicardo Crillier;Tonon †;Sicard;;Partie 1;;;;9;11;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/11
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Jean;Caffarelo;Lantosque;Partie 1;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Barthélemy;Trabuco;Lantosque;Partie 2;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Antorone †;Trabuco;Lantosque;Partie 3;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Louis †;Passeron Rabon;Lantosque;Partie 1;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Louisette;Passeron Rabon;Lantosque;Partie 2;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Antoine;Christini;Lantosque;Partie 3;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
13;8;1580;2;8;Mandement volontaire;Mandamento volontario p m.o Isoardo Sicardo q.a Gio Moissino;Isoard;Sicard;Lantosque;Partie 1;;;;12;14;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/14
13;8;1580;2;8;Mandement volontaire;Mandamento volontario p m.o Isoardo Sicardo q.a Gio Moissino;Jean;Moissin;;Partie 2;;;;12;14;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/14
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Louis;Torrin;Lantosque;Partie 1;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Antorine;Torrin;Lantosque;Partie 2;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Juvénal;Auda;Lantosque;Partie 3;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
15;8;1580;2;8;Dation en paie;Insoluto datione p m.o Gio Auda da Luis.co Turrino & quittansa & recog. d.o Turrino & Antorina sua figliola;Jean;Auda;Lantosque;Partie 1;;;;13;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
15;8;1580;2;8;Dation en paie;Insoluto datione p m.o Gio Auda da Luis.co Turrino & quittansa & recog. d.o Turrino & Antorina sua figliola;Louis;Torrin;Lantosque;Partie 2;;;;13;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
15;8;1580;2;8;Dation en paie;Insoluto datione p m.o Gio Auda da Luis.co Turrino & quittansa & recog. d.o Turrino & Antorina sua figliola;Antorine;Torrin;Lantosque;Partie 3;;;;13;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
16;8;1580;2;16;Quittance générale;Quitansa generale per Isoardo χρino & recognitio p Catterina soa figliola da Gio Cerro suo genero et marito resp.te;Isoard;Christini;Lantosque;Partie 1;;;;14;16;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/16
16;8;1580;2;16;Quittance générale;Quitansa generale per Isoardo χρino & recognitio p Catterina soa figliola da Gio Cerro suo genero et marito resp.te;Catherine;Christini;Lantosque;Partie 2;;;;14;16;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/16
16;8;1580;2;16;Quittance générale;Quitansa generale per Isoardo χρino & recognitio p Catterina soa figliola da Gio Cerro suo genero et marito resp.te;Jean;Serre;Lantosque;Partie 3;;;;14;16;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/16
17;8;1580;2;22;Dation en paie;Insoluto datione p il r.do sig.r Honorato Martelo di Doevaque da Lud.co Turrino Emtria di issi;Honoré;Martelli;Nice;Partie 1;;;;14;17;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/17
17;8;1580;2;22;Dation en paie;Insoluto datione p il r.do sig.r Honorato Martelo di Doevaque da Lud.co Turrino Emtria di issi;Louis;Torrin;Lantosque;Partie 2;;;;14;17;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/17
18;8;1580;2;22;Acapte;Accapito p il r.do sig Martelo Abbato di S.to Ponzo & Lud.co Turrino co com..;;Martelli;Nice;Partie 1;;;;17;18;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/18
18;8;1580;2;22;Acapte;Accapito p il r.do sig Martelo Abbato di S.to Ponzo & Lud.co Turrino co com..;Louis;Torrin;Lantosque;Partie 2;;;;17;18;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/18
19;8;1580;2;25;Quittance;Quitansa per Giacomo Cipriano & Pauleto casani frali da m.o Gio Antio Turrino galadi;Jacques;Torrin;Lantosque;Partie 1;;;;19;21;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/21
19;8;1580;2;25;Quittance;Quitansa per Giacomo Cipriano & Pauleto casani frali da m.o Gio Antio Turrino galadi;Cyprien;Torrin;Lantosque;Partie 2;;;;19;21;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/21
19;8;1580;2;25;Quittance;Quitansa per Giacomo Cipriano & Pauleto casani frali da m.o Gio Antio Turrino galadi;Paulin;Torrin;Lantosque;Partie 3;;;;19;21;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/21
19;8;1580;2;25;Quittance;Quitansa per Giacomo Cipriano & Pauleto casani frali da m.o Gio Antio Turrino galadi;Jean Antoine;Torrin;Lantosque;Partie 4;;;;19;21;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/21
20;8;1580;3;21;Quittance;Quitansa generale de Lud.co Moissino da Torrone Raimondo cognati;Louis;Moissin;Lantosque;Partie 1;;;;19;22;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/22
20;8;1580;3;21;Quittance;Quitansa generale de Lud.co Moissino da Torrone Raimondo cognati;Torone;Raimondo;Lantosque;Partie 2;;;;19;22;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/22
21;8;1580;3;22;Quittance;Quitansa di Gregorio Passerone da Antio et Pietro Daloni;Grégoire;Passeron;Lantosque;Partie 1;;;;20;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
21;8;1580;3;22;Quittance;Quitansa di Gregorio Passerone da Antio et Pietro Daloni;Antoine;Dalloni;Lantosque;Partie 2;;;;20;23;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/23
